Timestamp,CaseID,Activity
2003-04-12 06:30:15, Cabinet_72, Cabinet_72 ON Bathing
2003-04-12 06:35:22, Light_switch_104, Light_switch_104 ON Bathing
2003-04-12 06:40:33, Medicine_cabinet_57, Medicine_cabinet_57 ON Grooming
2003-04-12 07:00:45, Cabinet_61, Cabinet_61 ON Preparing_breakfast
2003-04-12 07:05:12, Drawer_135, Drawer_135 ON Preparing_breakfast
2003-04-12 07:10:33, Sink_faucet_-hot_68, Sink_faucet-_hot_68 ON Preparing_breakfast
2003-04-12 07:15:22, Cabinet_72, Cabinet_72 ON Bathing
2003-04-12 07:15:45, Cabinet_79, Cabinet_79 ON Preparing_breakfast
2003-04-12 07:30:15, Light_switch_104, Light_switch_104 ON Bathing
2003-04-12 07:45:33, Drawer_75, Drawer_75 ON Grooming
2003-04-12 08:10:45, Cabinet_80, Cabinet_80 ON Preparing_breakfast
2003-04-12 08:25:12, Sink_faucet_-hot_68, Sink_faucet-_hot_68 ON Preparing_breakfast
2003-04-12 08:30:22, Drawer_75, Drawer_75 ON Grooming
2003-04-12 09:15:33, Cabinet_80, Cabinet_80 ON Cleaning
2003-04-12 09:20:45, Light_switch_95, Light_switch_95 ON Cleaning
2003-04-12 09:25:12, Medicine_cabinet_57, Medicine_cabinet_57 ON Cleaning
2003-04-12 11:30:33, Toilet_Flush_100, Toilet_Flush_100 ON Toileting
2003-04-12 11:35:45, Cabinet_83, Cabinet_83 ON Toileting
2003-04-12 12:15:22, Cabinet_73, Cabinet_73 ON Preparing_lunch
2003-04-12 12:20:33, Drawer_135, Drawer_135 ON Preparing_lunch
2003-04-12 12:25:45, Burner_99, Burner_99 ON Preparing_lunch
2003-04-12 12:30:12, Cabinet_79, Cabinet_79 ON Preparing_lunch
2003-04-12 12:30:45, Cabinet_79, Cabinet_79 ON Preparing_lunch
2003-04-12 12:45:22, Drawer_135, Drawer_135 ON Preparing_lunch
2003-04-12 14:00:33, Laundry_Dryer_90, Laundry_Dryer_90 ON Doing_laundry
2003-04-12 14:05:45, Washing_Machine_142, Washing_Machine_142 ON Doing_laundry
2003-04-12 14:10:12, Cabinet_80, Cabinet_80 ON Doing_laundry
2003-04-12 15:20:33, Light_switch_95, Light_switch_95 ON Cleaning
2003-04-12 15:30:33, Light_switch_104, Light_switch_104 ON Putting_away_laundry
2003-04-12 15:35:45, Drawer_146, Drawer_146 ON Putting_away_laundry
2003-04-12 17:00:22, Cabinet_72, Cabinet_72 ON Preparing_dinner
2003-04-12 17:05:33, Oven_129, Oven_129 ON Preparing_dinner
2003-04-12 17:10:45, Cabinet_83, Cabinet_83 ON Preparing_dinner
2003-04-12 17:15:12, Light_switch_105, Light_switch_105 ON Preparing_dinner
2003-04-12 18:05:45, Oven_129, Oven_129 ON Preparing_dinner
2003-04-12 18:30:12, Cabinet_83, Cabinet_83 ON Preparing_dinner
2003-04-12 19:30:33, Drawer_75, Drawer_75 ON Preparing_a_snack
2003-04-12 19:35:45, Cabinet_79, Cabinet_79 ON Preparing_a_snack
2003-04-12 21:00:22, Light_switch_107, Light_switch_107 ON Grooming
2003-04-12 21:05:33, Cabinet_80, Cabinet_80 ON Grooming
2003-04-12 21:15:45, Light_switch_107, Light_switch_107 ON Grooming
2003-04-12 21:30:45, Cabinet_72, Cabinet_72 ON Bathing
2003-04-12 21:35:12, Light_switch_104, Light_switch_104 ON Bathing
2003-04-12 21:45:22, Cabinet_72, Cabinet_72 ON Bathing
2003-04-12 22:00:33, Toilet_Flush_100, Toilet_Flush_100 ON Toileting
2003-04-12 22:05:45, Cabinet_83, Cabinet_83 ON Toileting
2003-04-13 06:45:15, Cabinet_72, Cabinet_72 ON Bathing
2003-04-13 06:50:22, Light_switch_104, Light_switch_104 ON Bathing
2003-04-13 07:00:33, Medicine_cabinet_57, Medicine_cabinet_57 ON Grooming
2003-04-13 07:15:45, Cabinet_61, Cabinet_61 ON Preparing_breakfast
2003-04-13 07:20:12, Drawer_135, Drawer_135 ON Preparing_breakfast
2003-04-13 07:25:33, Sink_faucet_-hot_68, Sink_faucet-_hot_68 ON Preparing_breakfast
2003-04-13 08:45:22, Drawer_75, Drawer_75 ON Grooming
2003-04-13 09:30:33, Cabinet_80, Cabinet_80 ON Cleaning
2003-04-13 09:35:45, Light_switch_95, Light_switch_95 ON Cleaning
2003-04-13 09:40:12, Medicine_cabinet_57, Medicine_cabinet_57 ON Cleaning
2003-04-13 11:45:33, Toilet_Flush_100, Toilet_Flush_100 ON Toileting
2003-04-13 11:50:45, Cabinet_83, Cabinet_83 ON Toileting
2003-04-14 06:15:22, Medicine_cabinet_57, Medicine_cabinet_57 ON Bathing
2003-04-14 06:20:33, Cabinet_72, Cabinet_72 ON Bathing
2003-04-14 06:25:45, Light_switch_104, Light_switch_104 ON Bathing
2003-04-14 06:45:12, Drawer_75, Drawer_75 ON Grooming
2003-04-14 06:50:33, Cabinet_80, Cabinet_80 ON Grooming
2003-04-14 07:10:45, Cabinet_61, Cabinet_61 ON Preparing_breakfast
2003-04-14 07:15:12, Drawer_135, Drawer_135 ON Preparing_breakfast
2003-04-14 07:20:33, Sink_faucet_-hot_68, Sink_faucet-_hot_68 ON Preparing_breakfast
2003-04-14 09:30:45, Light_switch_95, Light_switch_95 ON Cleaning
2003-04-14 09:35:12, Medicine_cabinet_57, Medicine_cabinet_57 ON Cleaning
2003-04-14 09:40:33, Cabinet_80, Cabinet_80 ON Cleaning
2003-04-14 11:50:45, Toilet_Flush_100, Toilet_Flush_100 ON Toileting
2003-04-14 11:55:12, Cabinet_83, Cabinet_83 ON Toileting
2003-04-14 12:30:33, Cabinet_73, Cabinet_73 ON Preparing_lunch
2003-04-14 12:35:45, Burner_99, Burner_99 ON Preparing_lunch
2003-04-14 12:40:12, Cabinet_79, Cabinet_79 ON Preparing_lunch
2003-04-14 14:15:33, Laundry_Dryer_90, Laundry_Dryer_90 ON Doing_laundry
2003-04-14 14:20:45, Washing_Machine_142, Washing_Machine_142 ON Doing_laundry
2003-04-14 16:30:12, Drawer_146, Drawer_146 ON Putting_away_laundry
2003-04-14 16:35:33, Cabinet_80, Cabinet_80 ON Putting_away_laundry
2003-04-14 17:45:45, Oven_129, Oven_129 ON Preparing_dinner
2003-04-14 17:50:12, Cabinet_83, Cabinet_83 ON Preparing_dinner
2003-04-14 17:55:33, Light_switch_105, Light_switch_105 ON Preparing_dinner
2003-04-14 20:10:45, Cabinet_79, Cabinet_79 ON Preparing_a_snack
2003-04-14 20:15:12, Refrigerator_91, Refrigerator_91 ON Preparing_a_snack
2003-04-14 21:30:33, Light_switch_107, Light_switch_107 ON Grooming
2003-04-14 21:35:45, Cabinet_80, Cabinet_80 ON Grooming
2003-04-14 22:50:12, Toilet_Flush_100, Toilet_Flush_100 ON Toileting
2003-04-15 06:30:15, Cabinet_72, Cabinet_72 ON Bathing
2003-04-15 06:35:33, Light_switch_104, Light_switch_104 ON Bathing
2003-04-15 06:55:45, Medicine_cabinet_57, Medicine_cabinet_57 ON Grooming
2003-04-15 07:00:12, Drawer_75, Drawer_75 ON Grooming
2003-04-15 07:20:33, Cabinet_61, Cabinet_61 ON Preparing_breakfast
2003-04-15 07:25:45, Garbage_disposal_98, Garbage_disposal_98 ON Preparing_breakfast
2003-04-15 07:30:12, Cabinet_66, Cabinet_66 ON Preparing_breakfast
2003-04-15 09:45:33, Light_switch_95, Light_switch_95 ON Cleaning
2003-04-15 09:50:45, Microwave_143, Microwave_143 ON Cleaning
2003-04-15 09:55:12, Door_54, Door_54 ON Cleaning
2003-04-15 12:10:33, Medicine_cabinet_58, Medicine_cabinet_58 ON Preparing_lunch
2003-04-15 12:15:45, Medicine_cabinet_57, Medicine_cabinet_57 ON Preparing_lunch
2003-04-15 14:30:12, Door_140, Door_140 ON Doing_laundry
2003-04-15 14:35:33, Laundry_Dryer_90, Laundry_Dryer_90 ON Doing_laundry
2003-04-15 16:50:45, Drawer_146, Drawer_146 ON Putting_away_laundry
2003-04-15 16:55:12, Drawer_82, Drawer_82 ON Putting_away_laundry
2003-04-15 18:10:33, Burner_106, Burner_106 ON Preparing_dinner
2003-04-15 18:15:45, Dishwasher_70, Dishwasher_70 ON Preparing_dinner
2003-04-15 18:20:12, Jewelry_box_139, Jewelry_box_139 ON Preparing_dinner
2003-04-15 20:35:33, Laundry_Dryer_90, Laundry_Dryer_90 ON Preparing_a_snack
2003-04-15 20:40:45, Door_141, Door_141 ON Preparing_a_snack
2003-04-15 20:45:12, Sink_faucet_-hot_68, Sink_faucet-_hot_68 ON Preparing_a_snack
2003-04-15 21:50:33, Light_switch_107, Light_switch_107 ON Grooming
2003-04-15 21:55:45, Cabinet_80, Cabinet_80 ON Grooming
2003-04-15 22:10:12, Toilet_Flush_100, Toilet_Flush_100 ON Toileting
2003-04-16 06:20:33, Medicine_cabinet_57, Medicine_cabinet_57 ON Bathing
2003-04-16 06:25:45, Light_switch_104, Light_switch_104 ON Bathing
2003-04-16 06:45:12, Drawer_75, Drawer_75 ON Grooming
2003-04-16 06:50:33, Cabinet_133, Cabinet_133 ON Grooming
