Timestamp,CaseID,Activity
2003-04-12 06:45:18,Cabinet_73,Cabinet_73 ON Preparing_breakfast
2003-04-12 06:47:02,Drawer_135,Drawer_135 ON Preparing_breakfast
2003-04-12 07:02:47,Burner_99,Burner_99 ON Preparing_breakfast
2003-04-12 07:15:29,Light_switch_101,Light_switch_101 ON Preparing_breakfast
2003-04-12 12:30:15,Cabinet_66,Cabinet_66 ON Dressing
2003-04-12 12:31:44,Dishwasher_70,Dishwasher_70 ON Dressing
2003-04-12 12:35:12,Door_140,Door_140 ON Dressing
2003-04-12 15:22:37,Medicine_cabinet_57,Medicine_cabinet_57 ON Cleaning
2003-04-12 15:23:19,Cabinet_59,Cabinet_59 ON Cleaning
2003-04-12 18:40:33,Light_switch_107,Light_switch_107 ON Going_out_for_entertainment
2003-04-12 18:42:01,Lamp_76,Lamp_76 ON Going_out_for_entertainment
2003-04-12 22:15:47,Refrigerator_91,Refrigerator_91 ON Preparing_a_beverage
2003-04-12 22:16:12,Cabinet_63,Cabinet_63 ON Preparing_a_beverage
2003-04-13 07:30:14,Cabinet_61,Cabinet_61 ON Grooming
2003-04-13 07:32:55,Drawer_75,Drawer_75 ON Grooming
2003-04-13 11:45:21,Freezer_137,Freezer_137 ON Lawnwork
2003-04-13 11:46:33,Dishwasher_70,Dishwasher_70 ON Lawnwork
2003-04-13 14:15:47,Cabinet_72,Cabinet_72 ON Washing_dishes
2003-04-13 14:16:29,Drawer_135,Drawer_135 ON Washing_dishes
2003-04-13 19:02:18,Oven_129,Oven_129 ON Preparing_dinner
2003-04-13 19:03:44,Cabinet_83,Cabinet_83 ON Preparing_dinner
2003-04-14 06:55:02,Sink_faucet_-cold_88,Sink_faucet-_cold_88 ON Preparing_breakfast
2003-04-14 07:00:12,Cabinet_133,Cabinet_133 ON Grooming
2003-04-14 10:30:45,Drawer_86,Drawer_86 ON Doing_laundry
2003-04-14 10:32:11,Drawer_146,Drawer_146 ON Doing_laundry
2003-04-14 13:15:32,Burner_94,Burner_94 ON Preparing_lunch
2003-04-14 13:16:47,Toilet_Flush_100,Toilet_Flush_100 ON Preparing_lunch
2003-04-14 15:22:19,Cabinet_51,Cabinet_51 ON Cleaning
2003-04-14 15:23:01,Drawer_78,Drawer_78 ON Cleaning
2003-04-15 08:12:37,Medicine_cabinet_57,Medicine_cabinet_57 ON Putting_away_laundry
2003-04-15 08:13:44,Toilet_Flush_100,Toilet_Flush_100 ON Putting_away_laundry
2003-04-15 11:30:15,Cabinet_67,Cabinet_67 ON Putting_away_groceries
2003-04-15 11:31:02,Refrigerator_144,Refrigerator_144 ON Putting_away_groceries
2003-04-15 14:45:32,Laundry_Dryer_90,Laundry_Dryer_90 ON Preparing_a_snack
2003-04-15 14:46:11,Door_141,Door_141 ON Preparing_a_snack
2003-04-15 18:30:47,Light_switch_105,Light_switch_105 ON Preparing_dinner
2003-04-15 18:31:22,Cabinet_83,Cabinet_83 ON Preparing_dinner
2003-04-16 07:15:32,Shower_faucet_93,Shower_faucet_93 ON Bathing
2003-04-16 07:16:45,Cabinet_138,Cabinet_138 ON Bathing
2003-04-16 12:22:17,Drawer_69,Drawer_69 ON Preparing_lunch
2003-04-16 12:23:49,Burner_99,Burner_99 ON Preparing_lunch
2003-04-16 15:45:12,Cabinet_59,Cabinet_59 ON Toileting
2003-04-16 15:46:33,Drawer_125,Drawer_125 ON Toileting
2003-04-16 19:12:47,Exhaust_Fan_96,Exhaust_Fan_96 ON Preparing_dinner
2003-04-16 19:13:22,Light_switch_120,Light_switch_120 ON Preparing_dinner
2003-04-17 06:45:19,Cabinet_80,Cabinet_80 ON Preparing_breakfast
2003-04-17 06:47:33,Garbage_disposal_98,Garbage_disposal_98 ON Preparing_breakfast
2003-04-17 09:30:12,Drawer_82,Drawer_82 ON Doing_laundry
2003-04-17 09:31:44,Medicine_cabinet_58,Medicine_cabinet_58 ON Doing_laundry
2003-04-17 13:45:32,Cabinet_55,Cabinet_55 ON Washing_dishes
2003-04-17 13:46:15,Light_switch_95,Light_switch_95 ON Washing_dishes
2003-04-17 13:47:02,Cabinet_80,Cabinet_80 ON Washing_dishes  
2003-04-17 13:49:21,Light_switch_95,Light_switch_95 ON None  
2003-04-17 14:15:37,Drawer_135,Drawer_135 ON Cleaning  
2003-04-17 14:16:44,Cabinet_51,Cabinet_51 ON Cleaning  
