Timestamp,CaseID,Activity
2003-04-08 07:00:00,Cabinet_72,Cabinet_72 ON Bathing
2003-04-08 07:15:00,Cabinet_72,Cabinet_72 ON None
2003-04-08 07:30:00,Drawer_135,Drawer_135 ON Preparing_breakfast
2003-04-08 07:45:00,Light_switch_104,Light_switch_104 ON Putting_away_groceries
2003-04-08 07:50:00,Cabinet_73,Cabinet_73 ON Putting_away_groceries
2003-04-08 07:55:00,Drawer_78,Drawer_78 ON Putting_away_groceries
2003-04-08 08:00:00,Light_switch_104,Light_switch_104 ON None
2003-04-08 18:00:00,Light_switch_108,Light_switch_108 ON Bathing
2003-04-08 18:15:00,Drawer_71,Drawer_71 ON Bathing
2003-04-08 19:00:00,Oven_129,Oven_129 ON Dressing
2003-04-08 22:00:00,Refrigerator_91,Refrigerator_91 ON Grooming
2003-04-08 22:30:00,Exhaust_Fan_96,Exhaust_Fan_96 ON Preparing_a_beverage
2003-04-08 22:35:00,Light_switch_120,Light_switch_120 ON Preparing_a_beverage
2003-04-08 22:40:00,Cabinet_63,Cabinet_63 ON Preparing_a_beverage
2003-04-09 13:00:00,Drawer_69,Drawer_69 ON Cleaning
2003-04-09 13:15:00,Lamp_76,Lamp_76 ON Lawnwork
2003-04-09 13:20:00,Freezer_137,Freezer_137 ON Lawnwork
2003-04-09 13:25:00,Dishwasher_70,Dishwasher_70 ON Lawnwork
2003-04-09 14:00:00,Cabinet_72,Cabinet_72 ON Watching_TV
2003-04-09 15:00:00,Light_switch_105,Light_switch_105 ON Preparing_lunch
2003-04-09 15:15:00,Burner_99,Burner_99 ON Preparing_lunch
2003-04-09 15:30:00,Drawer_69,Drawer_69 ON Preparing_lunch
2003-04-09 15:45:00,Cabinet_83,Cabinet_83 ON Toileting
2003-04-09 16:00:00,Drawer_125,Drawer_125 ON Toileting
2003-04-09 16:15:00,Cabinet_59,Cabinet_59 ON Toileting
2003-04-09 16:30:00,Exhaust_Fan_96,Exhaust_Fan_96 ON Doing_laundry
2003-04-09 16:45:00,Cabinet_72,Cabinet_72 ON None
2003-04-09 17:00:00,Garbage_disposal_98,Garbage_disposal_98 ON None
2003-04-09 17:15:00,Light_switch_95,Light_switch_95 ON None
2003-04-09 17:30:00,Cabinet_138,Cabinet_138 ON Bathing
2003-04-09 17:45:00,Cabinet_51,Cabinet_51 ON Bathing
2003-04-09 18:00:00,Cabinet_83,Cabinet_83 ON Bathing
2003-04-09 18:15:00,Drawer_78,Drawer_78 ON Bathing
2003-04-09 18:30:00,Refrigerator_91,Refrigerator_91 ON Bathing
2003-04-09 18:45:00,Drawer_135,Drawer_135 ON None
2003-04-09 19:00:00,Lamp_76,Lamp_76 ON Going_out_for_entertainment
2003-04-09 19:15:00,Light_switch_104,Light_switch_104 ON Going_out_for_entertainment
2003-04-09 19:30:00,Light_switch_107,Light_switch_107 ON Going_out_for_entertainment
2003-04-09 19:45:00,Door_140,Door_140 ON Going_out_for_entertainment
2003-04-09 22:00:00,Lamp_76,Lamp_76 ON Toileting
2003-04-10 07:00:00,Medicine_cabinet_57,Medicine_cabinet_57 ON Doing_laundry
2003-04-10 07:15:00,Light_switch_95,Light_switch_95 ON Doing_laundry
2003-04-10 07:30:00,Cabinet_79,Cabinet_79 ON Doing_laundry
2003-04-10 07:45:00,Cabinet_59,Cabinet_59 ON Doing_laundry
2003-04-10 08:00:00,Medicine_cabinet_57,Medicine_cabinet_57 ON Putting_away_laundry
2003-04-10 08:15:00,Toilet_Flush_100,Toilet_Flush_100 ON Putting_away_laundry
2003-04-10 08:30:00,Drawer_146,Drawer_146 ON Putting_away_laundry
2003-04-10 10:45:00,Drawer_87,Drawer_87 ON Toileting
2003-04-10 12:30:00,Cabinet_66,Cabinet_66 ON None
2003-04-10 12:45:00,Drawer_86,Drawer_86 ON Putting_away_laundry
2003-04-10 13:00:00,Toilet_Flush_100,Toilet_Flush_100 ON Preparing_lunch
2003-04-10 13:15:00,Sink_faucet_-_hot_68,Sink_faucet_-_hot_68 ON Preparing_lunch
2003-04-10 13:30:00,Cabinet_79,Cabinet_79 ON Preparing_lunch
2003-04-10 23:00:00,Light_switch_120,Light_switch_120 ON None
2003-04-11 09:00:00,Cabinet_53,Cabinet_53 ON Doing_laundry
2003-04-11 09:15:00,Cabinet_80,Cabinet_80 ON Doing_laundry
2003-04-11 09:30:00,Drawer_75,Drawer_75 ON Doing_laundry
2003-04-11 09:45:00,Drawer_75,Drawer_75 ON Grooming
2003-04-11 12:00:00,Cabinet_73,Cabinet_73 ON None
2003-04-11 12:15:00,Closet_81,Closet_81 ON Going_out_to_work
2003-04-11 16:30:00,Light_switch_92,Light_switch_92 ON Preparing_dinner
2003-04-11 17:00:00,Lamp_76,Lamp_76 ON Preparing_dinner
2003-04-11 18:00:00,Light_switch_107,Light_switch_107 ON Toileting
2003-04-11 21:00:00,Lamp_76,Lamp_76 ON Bathing
2003-04-12 07:00:00,Cabinet_61,Cabinet_61 ON Preparing_breakfast
2003-04-12 07:15:00,Garbage_disposal_98,Garbage_disposal_98 ON Preparing_breakfast
2003-04-12 07:30:00,Cabinet_66,Cabinet_66 ON Preparing_breakfast
2003-04-12 08:00:00,Drawer_62,Drawer_62 ON Preparing_breakfast
2003-04-12 08:15:00,Cabinet_55,Cabinet_55 ON Grooming
2003-04-12 12:00:00,Cabinet_66,Cabinet_66 ON Dressing
2003-04-12 12:15:00,Dishwasher_70,Dishwasher_70 ON Dressing
2003-04-12 12:30:00,Door_140,Door_140 ON Dressing
2003-04-12 20:30:00,Light_switch_105,Light_switch_105 ON Preparing_dinner
2003-04-12 20:45:00,Cabinet_83,Cabinet_83 ON Preparing_dinner
2003-04-12 21:00:00,Closet_81,Closet_81 ON Preparing_dinner
2003-04-12 21:15:00,Light_switch_101,Light_switch_101 ON Preparing_dinner
2003-04-12 21:30:00,Light_switch_104,Light_switch_104 ON Grooming
2003-04-12 21:45:00,Light_switch_97,Light_switch_97 ON Grooming
2003-04-13 07:00:00,Cabinet_80,Cabinet_80 ON Grooming
2003-04-13 13:45:00,Cabinet_73,Cabinet_73 ON Grooming
2003-04-13 13:50:00,Cabinet_72,Cabinet_72 ON Grooming
2003-04-14 06:30:00,Laundry_Dryer_90,Laundry_Dryer_90 ON Bathing
2003-04-14 06:45:00,Washing_Machine_142,Washing_Machine_142 ON Bathing
2003-04-14 07:00:00,Light_switch_107,Light_switch_107 ON Preparing_breakfast
2003-04-14 11:00:00,Shower_faucet_93,Shower_faucet_93 ON Preparing_lunch
2003-04-14 14:00:00,Cabinet_73,Cabinet_73 ON Washing_dishes
2003-04-14 14:15:00,Cabinet_72,Cabinet_72 ON Washing_dishes
2003-04-14 14:30:00,Door_141,Door_141 ON Preparing_a_beverage
2003-04-14 14:45:00,Laundry_Dryer_90,Laundry_Dryer_90 ON Preparing_a_beverage
2003-04-14 15:00:00,Cabinet_79,Cabinet_79 ON Preparing_a_beverage
2003-04-15 10:45:00,Door_130,Door_130 ON Putting_away_groceries
2003-04-15 11:00:00,Medicine_cabinet_57,Medicine_cabinet_57 ON Putting_away_groceries
2003-04-15 11:15:00,Refrigerator_144,Refrigerator_144 ON Putting_away_groceries
2003-04-15 11:30:00,Burner_94,Burner_94 ON Putting_away_groceries
2003-04-15 11:45:00,Light_switch_95,Light_switch_95 ON Putting_away_groceries
2003-04-15 12:00:00,Drawer_84,Drawer_84 ON Putting_away_groceries
2003-04-15 12:15:00,Drawer_135,Drawer_135 ON Putting_away_groceries
2003-04-15 12:30:00,Oven_129,Oven_129 ON Putting_away_groceries
2003-04-15 12:45:00,Cabinet_63,Cabinet_63 ON Putting_away_groceries
2003-04-15 13:00:00,Sink_faucet_-_cold_88,Sink_faucet_-_cold_88 ON Putting_away_groceries
2003-04-15 13:15:00,Sink_faucet_-_hot_68,Sink_faucet_-_hot_68 ON Putting_away_groceries
2003-04-15 13:30:00,Light_switch_101,Light_switch_101 ON Putting_away_groceries
2003-04-15 13:45:00,Cabinet_67,Cabinet_67 ON Putting_away_groceries
2003-04-15 14:00:00,Refrigerator_91,Refrigerator_91 ON Doing_laundry
2003-04-15 14:15:00,Freezer_137,Freezer_137 ON Doing_laundry
2003-04-15 15:00:00,Cabinet_63,Cabinet_63 ON Putting_away_dishes
2003-04-15 15:15:00,Garbage_disposal_98,Garbage_disposal_98 ON Putting_away_dishes
2003-04-15 15:30:00,Cabinet_72,Cabinet_72 ON Putting_away_dishes
2003-04-15 16:00:00,Drawer_75,Drawer_75 ON Preparing_lunch
2003-04-15 17:00:00,Drawer_135,Drawer_135 ON Washing_dishes
2003-04-15 17:15:00,Closet_81,Closet_81 ON Washing_dishes
2003-04-15 18:00:00,Drawer_78,Drawer_78 ON Putting_away_dishes
2003-04-15 18:15:00,Cabinet_59,Cabinet_59 ON Putting_away_dishes
2003-04-15 19:00:00,Oven_129,Oven_129 ON Preparing_a_snack
2003-04-15 21:00:00,Drawer_82,Drawer_82 ON Preparing_a_beverage
2003-04-15 21:15:00,Medicine_cabinet_57,Medicine_cabinet_57 ON Preparing_a_beverage
2003-04-15 23:30:00,Door_130,Door_130 ON Washing_hands
2003-04-15 23:45:00,Jewelry_box_139,Jewelry_box_139 ON Washing_hands
2003-04-16 09:30:00,Drawer_75,Drawer_75 ON Bathing
2003-04-16 14:30:00,Cabinet_51,Cabinet_51 ON Preparing_a_beverage
2003-04-16 19:30:00,Garbage_disposal_98,Garbage_disposal_98 ON Preparing_a_beverage
2003-04-16 19:45:00,Cabinet_66,Cabinet_66 ON Preparing_a_beverage
2003-04-17 06:30:00,Drawer_75,Drawer_75 ON Preparing_a_beverage
2003-04-17 06:45:00,Door_54,Door_54 ON Preparing_a_beverage
2003-04-17 07:00:00,Cabinet_61,Cabinet_61 ON Bathing
2003-04-17 16:30:00,Toaster_131,Toaster_131 ON Bathing
2003-04-17 18:00:00,Cabinet_80,Cabinet_80 ON Preparing_a_snack
2003-04-17 18:45:00,Cabinet_55,Cabinet_55 ON Toileting
2003-04-17 18:50:00,Cabinet_61,Cabinet_61 ON Toileting
2003-04-17 19:00:00,Burner_94,Burner_94 ON Toileting
